asrn	17907 
mccs	17538 
incident	20881 19285 
meteorologist	18873 19721 
comply	19658 19760 16564 17039 20890 19556 20624 15345 20828 19432 21542 
breaks	18150 16833 21573 21202 
cullinet	18591 
inflammatory	19006 
sectors	17958 20829 18911 14891 21575 20462 16190 20946 18625 17964 16142 21261 20186 19028 17923 16853 15396 15110 16076 19478 15103 16600 16897 18667 
hourly	17622 17632 
rationalising	16759 
unicorp	17957 
powerplants	15322 
serious	18744 20262 21382 20764 20001 18975 21131 19055 19684 17923 19882 19950 19169 14921 20865 15551 15254 20462 21277 15686 14826 16926 
brink	19684 19882 
dns	15097 
forgotten	17750 17748 17871 
precious	16589 17455 16009 17654 16604 
mario	19377 17038 18210 19444 19489 
710	21453 15643 19474 
pepi	17651 
centurion	16512 
plentiful	14849 
speaker	20461 19411 21187 19255 18106 20333 18271 19756 
rate	17742 20159 15094 17750 16681 21469 20265 18011 17470 16111 16177 19545 17906 21497 15396 18610 17445 19121 16213 20262 21342 21502 17915 16304 18086 21486 16282 16274 14928 20153 21245 14854 19191 15560 15805 19478 15952 15602 19075 15103 18564 18987 14849 15549 17658 21130 17052 21331 16759 17930 18050 16134 15416 20925 14931 18665 17620 17883 20764 14918 20532 15617 18904 20001 16200 18362 18465 17943 20116 15444 16268 20275 18996 15552 18356 19541 15162 15455 16770 15093 17980 17509 18520 19875 16565 17952 17051 18911 18985 17970 21542 18106 19020 16189 15610 15539 15451 14859 17965 15055 19869 16298 19155 15049 19832 19918 15365 20907 21521 15551 19547 16407 20021 20093 16006 21277 19828 16195 20038 15579 19511 15364 21539 21510 16118 15454 16072 20025 21339 20769 18253 21532 20145 15804 14890 17748 16238 16430 16367 15578 20500 19986 17633 20048 20032 18625 18136 19653 18849 20263 15625 17870 16053 21243 18595 21168 16075 17822 18488 15636 16909 19431 18229 19512 19167 18674 15939 17874 15400 21556 15384 16214 21343 18051 18917 18177 21561 19028 19557 20259 15378 17966 15615 19492 15973 21512 18672 15656 16108 18360 16161 18781 15816 18009 16415 16119 15213 17448 19000 21152 18549 20347 16740 17871 15063 19022 16772 17939 17758 16150 15446 15503 16143 19044 18990 21202 17036 15212 16004 17703 19625 20377 19510 20868 16897 21535 15550 21508 20822 16083 19040 17899 18109 
205	15560 15545 21222 20715 21038 17822 21205 19101 20747 18610 21123 16071 
2014	15584 
